"","date","canada","korea"
"V3","8/2/16","1.83146","1,554.55"
"V4","8/3/16","1.83306","1,554.04"
"V5","8/4/16","1.82058","1,557.11"
"V6","8/5/16","1.84159","1,556.27"
"V7","8/8/16","1.83249","1,546.98"
"V8","8/9/16","1.8251","1,548.21"
"V9","8/10/16","1.82467","1,546.92"
"V10","8/11/16","1.81454","1,529.11"
"V11","8/12/16","1.80483","1,531.70"
"V13","8/16/16","1.80339","1,543.86"
"V14","8/17/16","1.80545","1,534.32"
"V15","8/18/16","1.79559","1,549.34"
"V16","8/19/16","1.8099","1,554.96"
"V17","8/22/16","1.81631","1,565.10"
"V18","8/23/16","1.81462","1,582.70"
"V19","8/24/16","1.81788","1,569.78"
"V20","8/25/16","1.81713","1,575.40"
"V21","8/26/16","1.81845","1,571.67"
"V22","8/29/16","1.81837","1,555.79"
"V23","8/30/16","1.8252","1,570.60"
"V2","9/1/16","1.82898","1,559.25"
"V3.1","9/2/16","1.81607","1,563.76"
"V4.1","9/6/16","1.79476","1,548.67"
"V5.1","9/7/16","1.80969","1,550.76"
"V6.1","9/8/16","1.81384","1,536.05"
"V7.1","9/9/16","1.82731","1,532.74"
"V8.1","9/12/16","1.83141","1,539.83"
"V9.1","9/13/16","1.84444","1,555.73"
"V13.1","9/19/16","1.83979","1,552.54"
"V14.1","9/20/16","1.8461","1,563.07"
"V15.1","9/21/16","1.83948","1,561.73"
"V16.1","9/22/16","1.82583","1,563.83"
"V17.1","9/23/16","1.84167","1,543.14"
"V18.1","9/26/16","1.84707","1,545.46"
"V19.1","9/27/16","1.85501","1,549.90"
"V20.1","9/28/16","1.85269","1,543.91"
"V21.1","9/29/16","1.83191","1,532.12"
"V3.2","10/4/16","1.83424","1,534.80"
"V4.2","10/5/16","1.83604","1,539.70"
"V5.2","10/6/16","1.8376","1,549.37"
"V6.2","10/7/16","1.84408","1,540.38"
"V7.2","10/11/16","1.83001","1,535.72"
"V8.2","10/12/16","1.83238","1,541.87"
"V9.2","10/13/16","1.82364","1,549.66"
"V10.2","10/14/16","1.81539","1,558.55"
"V11.2","10/17/16","1.8092","1,560.09"
"V12.2","10/18/16","1.80745","1,572.83"
"V13.2","10/19/16","1.80755","1,561.52"
"V14.2","10/20/16","1.81857","1,547.12"
"V15.2","10/21/16","1.83009","1,543.85"
"V16.2","10/24/16","1.83899","1,558.36"
"V17.2","10/25/16","1.82969","1,556.76"
"V18.2","10/26/16","1.83574","1,561.62"
"V19.2","10/27/16","1.83895","1,555.67"
"V20.2","10/28/16","1.83603","1,564.02"
"V2.2","11/1/16","1.84323","1,576.92"
"V3.3","11/2/16","1.85205","1,579.29"
"V4.3","11/3/16","1.85183","1,589.13"
"V5.3","11/4/16","1.8579","1,580.02"
"V6.3","11/7/16","1.84825","1,579.09"
"V7.3","11/8/16","1.83972","1,574.73"
"V8.3","11/9/16","1.85474","1,573.52"
"V9.3","11/10/16","1.84771","1,571.14"
"V11.3","11/14/16","1.85557","1,590.80"
"V12.3","11/15/16","1.83643","1,595.08"
"V13.3","11/16/16","1.82345","1,588.59"
"V14.3","11/17/16","1.82909","1,589.77"
"V15.3","11/18/16","1.83295","1,592.29"
"V16.3","11/21/16","1.82093","1,602.21"
"V17.3","11/22/16","1.82199","1,604.07"
"V18.3","11/23/16","1.82317","1,591.04"
"V19.3","11/28/16","1.81151","1,593.60"
"V20.3","11/29/16","1.81655","1,582.37"
"V2.3","12/1/16","1.80412","1,580.69"
"V3.4","12/2/16","1.80204","1,589.01"
"V4.4","12/5/16","1.80208","1,589.31"
"V5.4","12/6/16","1.8059","1,596.09"
"V6.4","12/7/16","1.79855","1,587.24"
"V7.4","12/8/16","1.79942","1,591.59"
"V8.4","12/9/16","1.7771","1,564.75"
"V9.4","12/12/16","1.77496","1,575.31"
"V10.3","12/13/16","1.77362","1,581.93"
"V11.4","12/14/16","1.77675","1,577.99"
"V12.4","12/15/16","1.7949","1,565.27"
"V13.4","12/16/16","1.78798","1,581.94"
"V14.4","12/19/16","1.79575","1,586.25"
"V15.4","12/20/16","1.78919","1,586.70"
"V16.4","12/21/16","1.7951","1,595.65"
"V17.4","12/22/16","1.80494","1,600.43"
"V18.4","12/23/16","1.81327","1,604.95"
"V20.4","12/28/16","1.81318","1,612.15"
"V21.2","12/29/16","1.80751","1,618.29"
"V22.1","12/30/16","1.80503","1,624.62"
"V2.4","1/3/17","1.79612","1,614.34"
"V3.5","1/4/17","1.78136","1,616.39"
"V4.5","1/5/17","1.77746","1,622.93"
"V5.5","1/6/17","1.78372","1,608.27"
"V6.5","1/9/17","1.77702","1,598.13"
"V7.5","1/10/17","1.77778","1,622.59"
"V8.5","1/11/17","1.77728","1,610.05"
"V11.5","1/17/17","1.77189","1,601.62"
"V12.5","1/18/17","1.78643","1,600.97"
"V14.5","1/23/17","1.80472","1,592.32"
"V15.5","1/24/17","1.78778","1,585.92"
"V16.5","1/25/17","1.77843","1,582.70"
"V17.5","1/26/17","1.78039","1,584.47"
"V2.5","2/1/17","1.78402","1,588.56"
"V3.6","2/2/17","1.77687","1,576.65"
"V4.6","2/3/17","1.76729","1,561.81"
"V5.6","2/6/17","1.78416","1,559.87"
"V6.6","2/7/17","1.78579","1,543.02"
"V7.6","2/8/17","1.78423","1,548.81"
"V8.6","2/9/17","1.7844","1,555.33"
"V9.6","2/10/17","1.77024","1,551.30"
"V10.5","2/13/17","1.77033","1,559.45"
"V11.6","2/14/17","1.77297","1,559.83"
