"","created_at","next_day"
"1",2016-09-27,2016-09-28
"2",2017-01-02,2017-01-03
"3",2017-02-12,2017-02-13
"4",2017-02-14,2017-02-15
"5",2017-03-17,2017-03-18
"6",2017-04-11,2017-04-12
"7",2017-04-12,2017-04-13
"8",2017-04-13,2017-04-14
"9",2017-04-16,2017-04-17
"10",2017-04-21,2017-04-22
"11",2017-04-28,2017-04-29
"12",2017-05-29,2017-05-30
"13",2017-06-20,2017-06-21
"14",2017-06-30,2017-07-01
"15",2017-07-03,2017-07-04
"16",2017-07-04,2017-07-05
"17",2017-07-05,2017-07-06
"18",2017-07-08,2017-07-09
"19",2017-07-29,2017-07-30
"20",2017-08-05,2017-08-06
"21",2017-08-07,2017-08-08
"22",2017-08-08,2017-08-09
"23",2017-08-09,2017-08-10
"24",2017-08-10,2017-08-11
"25",2017-08-11,2017-08-12
"26",2017-08-13,2017-08-14
"27",2017-08-15,2017-08-16
"28",2017-08-16,2017-08-17
"29",2017-08-30,2017-08-31
"30",2017-09-03,2017-09-04
"31",2017-09-05,2017-09-06
"32",2017-09-17,2017-09-18
"33",2017-09-19,2017-09-20
"34",2017-09-20,2017-09-21
"35",2017-09-21,2017-09-22
"36",2017-09-22,2017-09-23
"37",2017-09-23,2017-09-24
"38",2017-09-24,2017-09-25
"39",2017-09-26,2017-09-27
"40",2017-10-01,2017-10-02
"41",2017-10-07,2017-10-08
"42",2017-10-09,2017-10-10
"43",2017-10-09,2017-10-10
"44",2017-11-08,2017-11-09
"45",2017-11-11,2017-11-12
